Kalimat;Kelompok
Bagaimana kamu bisa sampai di sini?;pertanyaan
Mengapa dia pergi begitu cepat?;pertanyaan
Bagaimana kita bisa meningkatkan penjualan?;pertanyaan
Jangan tinggalkan barang berharga di sini.;perintah
Bagaimana kamu bisa menyelesaikan tugas itu dengan cepat?;pertanyaan
Dia sangat ramah dan baik hati.;pernyataan
Apakah kamu sudah sarapan?;pertanyaan
Tolong tutup pintu itu.;perintah
Cepat selesaikan laporan ini.;perintah
Saya sudah menyelesaikan tugas itu.;pernyataan
Siapa yang akan membantu kita besok?;pertanyaan
Jangan lupa bawa dokumen penting.;perintah
Segera kirim undangan ini.;perintah
Bawa surat ini ke kantor pos.;perintah
Mengapa kamu tidak berbicara dengan dia?;pertanyaan
Melodi lembut dari alat musik mengisi ruangan, menciptakan suasana yang tenang dan damai.;pernyataan
Siapa yang akan menjadi pembicara utama?;pertanyaan
Ambil obat ini tiga kali sehari.;perintah
Dia sangat ramah kepada semua orang.;pernyataan
Sorotan lampu panggung memancar di atas panggung, menyoroti penampilan para seniman di depan penonton yang antusias.;pernyataan
Jangan merokok di sini.;perintah
Sang pelukis menggoreskan kuasnya di atas kanvas putih, menciptakan karya seni yang abstrak dan indah.;pernyataan
Kami sering bermain tenis di akhir pekan.;pernyataan
Kapan kita bisa bertemu untuk diskusi?;pertanyaan
Mengapa kamu tidak datang lebih awal?;pertanyaan
Kapan kamu akan memperbaiki sepeda itu?;pertanyaan
Kami akan pergi ke pegunungan minggu depan.;pernyataan
Kami akan pergi ke supermarket nanti.;pernyataan
Saya sangat lelah setelah perjalanan jauh.;pernyataan
Dia sangat suka menonton drama Korea.;pernyataan
Bagaimana pendapatmu tentang masalah ini?;pertanyaan
Kapan kamu akan pulang ke rumah?;pertanyaan
Saya sangat menyukai film itu.;pernyataan
Seseorang berjalan-jalan di taman, menikmati keindahan bunga-bunga yang mekar di bawah sinar matahari yang hangat.;pernyataan
Di perpustakaan, seseorang membenamkan diri dalam buku-buku dan mencari pengetahuan baru.;pernyataan
Tolong matikan televisi.;perintah
Suara gemerincing air hujan turun di atap, seseorang merasa hangat dan nyaman di dalam rumah mereka.;pernyataan
Mengapa kamu terlambat datang hari ini?;pertanyaan
Bagaimana kita bisa mengatasi masalah ini?;pertanyaan
Apakah kamu sudah makan siang?;pertanyaan
Bagaimana kita bisa sampai ke sana?;pertanyaan
Saya baru saja mengupdate software.;pernyataan
Jangan lupa membawa dokumen itu.;perintah
Dia sangat pandai memasak.;pernyataan
Penjaga kebun binatang merawat hewan-hewan yang ada di dalam kebun binatang.;pernyataan
Tolong jangan berisik.;perintah
Jangan lupa bawa payung.;perintah
Bawa baju ini ke laundry.;perintah
Mengapa lampu ini berkedip?;pertanyaan
Kami akan pergi ke museum minggu depan.;pernyataan
Jangan lupa untuk mengisi formulir ini.;perintah
Di kebun, seseorang merawat tanaman-tanaman mereka dengan penuh kasih sayang, menciptakan lingkungan yang indah dan sehat.;pernyataan
Seorang pengusaha properti mengembangkan properti-properti untuk proyek-proyek komersial.;pernyataan
Apakah kamu sudah makan malam?;pertanyaan
Kami akan berangkat pukul delapan.;pernyataan
Siapa yang akan menggantikannya?;pertanyaan
Dia sangat suka membaca novel misteri.;pernyataan
Dia sangat menikmati pekerjaannya.;pernyataan
Segera kirimkan dokumen ini.;perintah
Mengapa kamu tidak datang ke rapat?;pertanyaan
Siapa yang akan mengantar kita ke bandara?;pertanyaan
Jangan duduk di meja itu.;perintah
Ilustrator membuat gambar-gambar yang indah untuk buku-buku anak-anak.;pernyataan
Segera buat janji dengan dokter gigi.;perintah
Di mana kamu menyimpan foto-foto itu?;pertanyaan
Simpan dokumen ini dengan aman.;perintah
Kapan kamu akan mengambil cuti?;pertanyaan
Suara gemerincing air mengalir di sungai, seseorang merasakan ketenangan yang mendalam di bawah sinar matahari yang hangat.;pernyataan
Tolong periksa email itu.;perintah
Siapa yang akan mengurus akomodasi?;pertanyaan
Jangan main bola di sini.;perintah
Siapa yang mendesain logo ini?;pertanyaan
Kapan kamu akan menyelesaikan pekerjaan ini?;pertanyaan
Bagaimana cara membuat kue ini?;pertanyaan
Tolong jangan sentuh peralatan ini.;perintah
Kami sering pergi ke bioskop bersama.;pernyataan
Apakah kamu mengerti instruksinya?;pertanyaan
Dia adalah seorang ilmuwan terkenal.;pernyataan
Bawa barang ini ke gudang.;perintah
Penyair menyampaikan puisi-puisi mereka di depan para pendengar di acara sastra.;pernyataan
Matahari terbenam di ufuk barat, menyinari langit dengan warna oranye cerah.;pernyataan
Ahli biologi mempelajari perilaku hewan di habitat alaminya.;pernyataan
Dia sedang belajar di perpustakaan.;pernyataan
Mengapa kita harus mengikuti aturan ini?;pertanyaan
Bagaimana cara mengoperasikan mesin ini?;pertanyaan
Tolong periksa kembali laporan itu.;perintah
Mengapa dia tidak membalas pesanku?;pertanyaan
Kami sering mengunjungi museum saat liburan.;pernyataan
Dia sangat suka berkebun.;pernyataan
Saya baru saja berbicara dengan direktur.;pernyataan
Seorang fotografer mengambil gambar-gambar indah dari alam liar, menangkap keajaiban alam dalam setiap frame kameranya.;pernyataan
Jangan lupa untuk mencuci piring.;perintah
Penjaga pantai mengawasi pantai dari menara penjaga pantai mereka.;pernyataan
Segera buat janji dengan dokter.;perintah
Segera kirim email konfirmasi ini.;perintah
Masukkan pakaian ini ke dalam mesin cuci.;perintah
Jangan lupa membawa dokumen penting.;perintah
Berikan file ini ke bos.;perintah
Peneliti medis melakukan penelitian terhadap penyakit-penyakit yang mematikan.;pernyataan
Kapan kamu akan memulai pekerjaan baru?;pertanyaan
Seorang pemburu harta karun mencari artefak-artefak berharga di dalam gua-gua yang tersembunyi.;pernyataan
Apakah kamu sudah membaca artikel itu?;pertanyaan
Kapan kamu mulai bekerja di sini?;pertanyaan
Bagaimana cara membuka kunci ini?;pertanyaan
Siapa yang akan menggantikan posisi itu?;pertanyaan
Nelayan menarik jaring mereka dari dalam laut yang biru.;pernyataan
Cahaya bulan menerangi malam gelap, menciptakan suasana romantis di tepi danau yang tenang.;pernyataan
Tolong matikan lampu.;perintah
Tolong simpan uang ini di tempat aman.;perintah
Segera perbaiki printer ini.;perintah
Apakah kamu pernah mencoba yoga?;pertanyaan
Suara tawa riang terdengar dari halaman belakang, seseorang mengadakan piknik bersama keluarga dan teman-teman.;pernyataan
Mengapa kamu merasa cemas?;pertanyaan
Kapan kita harus mengumpulkan tugas ini?;pertanyaan
Arahkan mobil ini ke kiri di persimpangan berikutnya.;perintah
Tolong periksa email harian.;perintah
Tolong bawa laporan ini ke manajer.;perintah
Jangan makan di ruang kerja.;perintah
Dia sedang menunggu di stasiun.;pernyataan
Belikan saya kopi dari kafe di sudut jalan.;perintah
Bagaimana kabarmu hari ini?;pertanyaan
Hari ini sangat mendung dan dingin.;pernyataan
Segera bersihkan area ini.;perintah
Cepat selesaikan pekerjaan rumahmu.;perintah
Bagaimana cara menggunakan printer ini?;pertanyaan
Di mana kamu mendapatkan resep kue ini?;pertanyaan
Saya baru saja menyelesaikan laporan itu.;pernyataan
Siapa yang mengirim pesan ini?;pertanyaan
Berikan dokumen ini kepada manajer.;perintah
Bagaimana kamu bisa lupa?;pertanyaan
Jangan menyalakan musik keras-keras.;perintah
Kapan kita akan mulai pertemuan ini?;pertanyaan
Kami akan mengunjungi nenek akhir pekan ini.;pernyataan
Kapan kita bisa mulai latihan?;pertanyaan
Teriakan gembira terdengar dari lapangan sepak bola, ketika tim favorit mencetak gol yang memenangkan pertandingan.;pernyataan
Kapan kita akan berangkat?;pertanyaan
Cepat kirimkan dokumen ke klien.;perintah
Tolong periksa jadwal hari ini.;perintah
Bagaimana perasaanmu hari ini?;pertanyaan
Saya tidak suka makanan asin.;pernyataan
Mengapa kita tidak pergi ke bioskop?;pertanyaan
Bagaimana bisa kamu lupa?;pertanyaan
Musisi memainkan lagu-lagu yang indah di atas panggung yang ramai.;pernyataan
Seorang pujangga menulis bait-bait puisi yang indah, menciptakan karya seni yang mempesona bagi pembaca.;pernyataan
Di atas gunung es, seseorang merasakan dinginnya udara segar di wajah mereka, sambil mengagumi keindahan panorama yang luas.;pernyataan
Suara tawa riang terdengar dari taman bermain, seseorang menonton anak-anak bermain dengan gembira.;pernyataan
Siapa yang menulis buku ini?;pertanyaan
Apakah kamu sudah memesan tiket?;pertanyaan
Seorang penjelajah berdiri di puncak gunung, menikmati pemandangan indah di bawahnya.;pernyataan
Saya sangat lelah setelah bekerja seharian.;pernyataan
Segera hubungi teknisi untuk perbaikan.;pernyataan
Ambilkan saya segelas air.;perintah
Segera sampaikan pesan ini kepada tim.;perintah
Segera kirim email konfirmasi.;perintah
Dia sangat pandai dalam matematika.;pernyataan
Suara gemerincing daun kering terdengar di hutan, seseorang menikmati berjalan-jalan di tengah pepohonan yang meranggas.;pernyataan
Bagaimana cara kamu menyelesaikan tugas ini?;pertanyaan
Seseorang duduk di atas batu besar di tepi danau, menikmati ketenangan dan keindahan alam di sekitarnya.;pernyataan
Saya sudah makan siang tadi.;pernyataan
Dia selalu datang tepat waktu.;pernyataan
Dia sangat suka berenang di kolam renang.;pernyataan
Tolong buatkan janji temu dengan dokter.;perintah
Dia sangat menikmati liburannya.;pernyataan
Bawa barang ini ke gudang sekarang.;perintah
Kami sering menghabiskan waktu di kafe.;pernyataan
Cepat selesaikan tugas ini.;perintah
Penulis mencatat ide-ide segar di dalam buku catatannya, menyiapkan bahan untuk karya-karyanya yang mendatang.;pernyataan
Mengapa kamu memilih jurusan itu?;pertanyaan
Langit senja diwarnai dengan nuansa merah dan jingga, menciptakan pemandangan yang memukau di ufuk barat.;pernyataan
Di rumah sakit, seseorang memberikan dukungan kepada pasien yang sedang dalam perawatan.;pernyataan
Seorang ahli genetika mempelajari gen-gen dan DNA untuk memahami pewarisan sifat-sifat.;pernyataan
Kapan kita bisa mulai proyek ini?;pertanyaan
Dia sangat menyukai binatang.;pernyataan
Kami akan mengadakan pesta akhir pekan ini.;pernyataan
Seorang kuli bangunan membantu dalam pembangunan bangunan-bangunan di sekitar kota.;pernyataan
Apakah kamu sudah menyiapkan bahan presentasi?;pertanyaan
Saya sudah menulis surat itu.;pernyataan
Jangan makan di sini.;perintah
Saya sudah membersihkan rumah.;pernyataan
Suara gemuruh air terjun mengalir deras di tengah hutan, menawarkan kedamaian dan keindahan alam yang menakjubkan.;pernyataan
Kami sering bermain basket di sore hari.;pernyataan
Mengapa kamu terlihat sedih?;pertanyaan
Cepat catat nomor telepon.;perintah
Dia adalah seorang dokter anak.;pernyataan
Dia sedang belajar untuk ujian besok.;pernyataan
Mengapa langit berwarna biru?;pertanyaan
Tolong tulis alamat penerima.;perintah
Segera kirimkan laporan harian.;perintah
Kami selalu berolahraga setiap pagi.;pernyataan
Di mana kamu menemukan artikel tersebut?;pertanyaan
Jangan lupa membawa buku catatan.;perintah
Saya suka makan malam bersama keluarga.;pernyataan
Siapa yang akan menjemput anak-anak?;pertanyaan
Tolong kirim laporan ini ke atasan.;perintah
Jangan buang sampah sembarangan.;perintah
Senyum hangat dari seorang anak menghangatkan hati, menghadirkan kebahagiaan dalam kehidupan sehari-hari.;pernyataan
Jangan makan di sini.;perintah
Mengapa kita harus menunggu lama?;pertanyaan
Saya sudah membersihkan dapur.;pernyataan
Seseorang mengamati langit malam dengan teleskop, mencari bintang-bintang dan planet-planet di galaksi yang luas.;pernyataan
Cepat catat nomor telepon ini.;perintah
Di ruang kelas, seseorang mendengarkan dengan seksama saat guru menjelaskan pelajaran.;pernyataan
Tolong nyalakan kipas angin.;perintah
Bagaimana rencana liburanmu?;pertanyaan
Saya membeli baju baru kemarin.;pernyataan
Dia sangat pandai melukis.;pernyataan
Mengapa lampu ini tidak menyala?;pertanyaan
Mengapa kamu memilih warna tersebut?;pertanyaan
Tolong buatkan salinan dokumen ini.;perintah
Kapan kamu berencana untuk liburan?;pertanyaan
Siapa yang mengatur acara ini?;pertanyaan
Bawa barang ini ke lantai atas.;perintah
Ambil buku itu dari rak.;perintah
Di taman bermain, seseorang merasakan kebahagiaan murni saat mereka bergelantungan di ayunan dan meluncur di perosotan.;pernyataan
Mengapa lampu ini tidak berfungsi?;pertanyaan
Siapa yang memenangkan pertandingan itu?;pertanyaan
Di atas gunung, seseorang menyaksikan matahari terbit dengan pemandangan yang menakjubkan di sekitarnya.;pernyataan
Bagaimana cara mengganti kata sandi?;pertanyaan
Seniman topeng membuat topeng-topeng tradisional untuk upacara-upacara adat.;pernyataan
Kapan kita akan pergi berlibur?;pertanyaan
Kami berencana untuk membeli rumah.;pernyataan
Seseorang menulis di buku catatan, mencatat ide-ide kreatif untuk proyek seni mereka.;pernyataan
Seorang pelaut menavigasi kapal melalui perairan yang berbahaya dengan kompas mereka.;pernyataan
Wajah-wajah ceria berkumpul di taman, sementara seseorang mengadakan pesta kecil untuk merayakan momen spesial.;pernyataan
Apakah kamu sudah memperbarui aplikasi itu?;pertanyaan
Bagaimana kamu tahu tentang acara itu?;pertanyaan
Hembusan angin sepoi-sepoi meniup daun-daun pohon, memberikan sentuhan lembut alam kepada alam.;pernyataan
Bagaimana kamu mengetahui informasi itu?;pertanyaan
Apakah kamu setuju dengan keputusan tersebut?;pertanyaan
Seorang fotografer jurnalis mengabadikan momen-momen penting dalam berita dengan kameranya.;pernyataan
Jangan membuang sampah sembarangan.;perintah
Ilmuwan mengamati pola-pola bintik matahari dengan teleskop mereka.;pernyataan
Bawa barang ini ke kantor pos.;perintah
Apakah kamu sudah menyelesaikan laporan itu?;pertanyaan
Bawa tas ini ke kantor.;perintah
Berikan saya uang kembalian.;perintah
Segera bersihkan meja makan.;perintah
Mengapa kamu tidak menghubungi saya?;pertanyaan
Segera kirimkan email ini.;perintah
Kapan kamu akan pulang dari kantor?;pertanyaan
Segera kirim paket ini.;perintah
Suara gemuruh kereta api terdengar di stasiun, seseorang menunggu dengan sabar kedatangan kereta yang akan membawa mereka ke tujuan berikutnya.;pernyataan
Kapan kita akan mulai perjalanan ini?;pertanyaan
Dia sangat menyukai kucing.;pernyataan
Bawa mobil ini ke bengkel secepatnya.;perintah
Segera hubungi dokter.;perintah
Segera kirimkan laporan harian.;perintah
Pemandu wisata memandu rombongan wisatawan di sekitar kota tua.;pernyataan
Cepat selesaikan proyek ini sebelum deadline.;perintah
Seorang pedagang pasar menjual barang-barang dagangan mereka di pasar tradisional.;pernyataan
Di kandang kuda, seseorang merawat hewan peliharaan mereka dengan penuh kasih sayang dan perhatian.;pernyataan
Peternak memelihara ternaknya di padang rumput yang luas, memberi mereka makan dan minum dengan penuh perhatian.;pernyataan
Mengapa kita tidak pergi ke taman hari ini?;pertanyaan
Dia sangat berbakat dalam melukis.;pernyataan
Jangan buang sampah sembarangan.;perintah
Dia selalu datang tepat waktu.;pernyataan
Cepat selesaikan laporan mingguan.;perintah
Kapan terakhir kali kamu pergi ke dokter?;pertanyaan
Mengapa kamu tidak hadir di pertemuan kemarin?;pertanyaan
Dia tinggal di dekat kampus.;pernyataan
Di mana kamu membeli baju itu?;pertanyaan
Pilot mengemudikan pesawat terbang ke destinasi yang jauh.;pernyataan
Kami akan mengadakan workshop minggu depan.;pernyataan
Seorang petani bangun pagi-pagi, siap untuk memulai hari yang sibuk di ladangnya.;pernyataan
Di mana kamu menemukan informasi tersebut?;pertanyaan
Kapan kamu berencana untuk pindah rumah?;pertanyaan
Cepat berikan jawabannya.;perintah
Peneliti arkeologi menggali situs-situs purbakala untuk mencari artefak-artefak bersejarah.;pernyataan
Apakah kamu pernah ke Paris?;pertanyaan
Siapa yang akan memimpin rapat ini?;pertanyaan
Dia sangat suka bermain gitar.;pernyataan
Cepat cuci piringnya.;perintah
Segera simpan file ini di drive.;perintah
Ahli terapi fisik membantu pasien-pasien mereka pulih dari cedera fisik.;pernyataan
Siapa yang akan menjaga rumah saat kita pergi?;pertanyaan
Segera tutup pintu gerbang.;perintah
Di mana kamu menyimpan file tersebut?;pertanyaan
Saya sudah membersihkan seluruh rumah.;pernyataan
Mereka sedang bekerja di proyek baru.;pernyataan
Saya sudah menyiapkan semua dokumen.;pernyataan
Bagaimana kita bisa membuat rencana ini berhasil?;pertanyaan
Kami berencana untuk berlibur ke Bali.;pernyataan
Bagaimana kita bisa memecahkan masalah ini?;pertanyaan
Apakah kamu sudah mencuci pakaian?;pertanyaan
Bagaimana cara memesan tiket online?;pertanyaan
Pengendara sepeda mengayuh sepeda mereka di sepanjang jalan-jalan di kota.;pernyataan
Daun-daun gugur menari di angin musim gugur, menutupi jalan setapak dengan lapisan warna-warni.;pernyataan
Suara riuh rendah kota memenuhi udara di malam hari, seseorang menikmati kehidupan malam yang penuh dengan cahaya dan suara.;pernyataan
Apakah kamu sudah mencoba restoran baru itu?;pertanyaan
Cepat bersihkan kamar mandi.;perintah
Jurutulis mengetikkan surat-surat resmi di depan komputer mereka.;pernyataan
Di mana kamu mendapatkan informasi ini?;pertanyaan
Apakah kamu tahu di mana letak perpustakaan?;pertanyaan
Seorang anak menatap ke langit, mencoba menghitung bintang-bintang di malam yang gelap.;pernyataan
Ambilkan buku dari meja itu.;perintah
Jangan lupa untuk membawa payung.;perintah
Di dalam gereja tua, seseorang merasakan ketenangan dan ketakjuban di depan arsitektur dan seni rupa yang indah.;pernyataan
Tolong periksa tugas ini dengan teliti.;perintah
Tolong beri tahu saya hasilnya.;perintah
Arahkan tamu ke ruang rapat.;perintah
Cepat siapkan bahan-bahan untuk presentasi.;perintah
Bagaimana perasaanmu hari ini?;pertanyaan
Kami akan mengadakan rapat hari ini.;pernyataan
Seorang arsitek merancang bangunan megah yang akan menjadi landmark kota, menggabungkan keindahan dan fungsionalitas.;pernyataan
Di jalanan kota, seseorang menikmati pertunjukan jalanan dari seniman jalanan yang berbakat.;pernyataan
Tolong beri tahu saya jika ada perubahan.;perintah
Petugas kebersihan membersihkan jalan-jalan dari sampah-sampah yang berserakan.;pernyataan
Di atas panggung, seseorang menampilkan bakat musik mereka dengan memainkan lagu-lagu favorit di depan penonton yang antusias.;pernyataan
Peneliti energi terbarukan mencari solusi-solusi untuk mengurangi ketergantungan pada bahan bakar fosil.;pernyataan
Kami akan berangkat liburan besok.;pernyataan
Segera beri tahu hasil rapat.;perintah
Jangan duduk di meja kerja saya.;perintah
Saya tidak suka makanan pedas.;pernyataan
Di mana kamu belajar bahasa asing?;pertanyaan
Di mana kita bisa makan siang?;pertanyaan
Siapa yang akan menjaga anak-anak?;pertanyaan
Hari ini cuacanya sangat panas.;pernyataan
Mengapa kamu menolak tawaran itu?;pertanyaan
Kapan kamu akan menyelesaikan tugas ini?;pertanyaan
Bagaimana cara menggunakan fitur ini?;pertanyaan
Apakah kamu suka dengan film tersebut?;pertanyaan
Saya sangat lelah setelah bekerja seharian.;pernyataan
Seorang pramugari melayani penumpang di dalam pesawat selama penerbangan.;pernyataan
Cepat selesaikan proyek ini.;perintah
Siapa yang akan membantu saya dengan ini?;pertanyaan
Cuci tanganmu sebelum makan.;perintah
Di jalanan kota, seseorang berjalan-jalan sambil menikmati hiruk-pikuk kehidupan perkotaan.;pernyataan
Kami sudah memesan tiket konser.;pernyataan
Penyunting buku menyunting naskah-naskah untuk diterbitkan di penerbitan mereka.;pernyataan
Ambilkan saya segelas air.;perintah
Di gedung perkantoran, seseorang menyelesaikan tumpukan pekerjaan yang menumpuk di mejanya.;pernyataan
Di mana kamu tinggal sekarang?;pertanyaan
Bagaimana kamu mengetahui informasi ini?;pertanyaan
Kapan kamu terakhir kali mengunjungi museum?;pertanyaan
Siapa yang akan datang ke pesta nanti malam?;pertanyaan
Kami sering bertemu di kafe.;pernyataan
Tolong buatkan janji dengan dokter.;perintah
Seseorang berjalan-jalan di taman, menikmati keindahan bunga-bunga yang bermekaran.;pernyataan
Siapa yang mengambil foto itu?;pertanyaan
Apakah kamu suka es krim?;pertanyaan
Teknisi komputer memperbaiki perangkat keras yang rusak di kantor mereka.;pernyataan
Bagaimana kita bisa mencapai tempat itu?;pertanyaan
Siapa yang mengajarkan mata kuliah ini?;pertanyaan
Di mana kamu menyimpan uang itu?;pertanyaan
Dia adalah seorang dokter terkenal.;pernyataan
Penjual buah memajang buah-buahan segar di atas meja dagangannya.;pernyataan
Bagaimana cara kerja mesin ini?;pertanyaan
Kapan kamu akan pergi ke dokter?;pertanyaan
